sample_id,n_match_genomes,avg_f_covered_bp,avg_effective_coverage,n_mapped_reads
DRR014782,735,0.2834298101618287,5.906584878739966,75612507
DRR014785,892,0.27245416376343334,5.303159736889908,83163638
DRR121397,234,0.1310793063276223,1.655979887720041,2121643
DRR121401,175,0.12192092558930523,1.4094902599361854,1311236
ERR10695318,57,0.26557872354487316,126.7621499974409,123175020
ERR1414265,709,0.19258400384920635,2.7186670046971817,20065130
ERR1414271,1472,0.19945752140428444,2.945408984347171,52839024
ERR1869526,70,0.19796512684476833,29.714560522678077,30986940
ERR1869527,152,0.184227040053435,16.611870161984132,65905139
ERR1877479,23,0.7719022509867495,24.792082232957327,32277602
ERR1877482,25,0.5582460294793126,17.256714366964797,30823007
ERR2094168,596,0.21832090654464997,3.8168508247333137,26448645
ERR2094174,185,0.2225990056920393,13.51716023698392,39749460
ERR2094175,410,0.2575065685859614,7.674103470224099,24155246
ERR2114805,248,0.2908963106797342,3.419235573369865,8906686
ERR2135457,40,0.20399156542910987,168.66097077334663,157296772
ERR2200468,827,0.2011840007866114,1.3738254458674093,9872987
ERR2241845,1886,0.2727893251151619,3.62213273442323,46458095
ERR2607414,2106,0.17395839041236263,3.240670892189416,60957416
ERR2607491,1067,0.16920415914230372,2.108714066107892,12615621
ERR2683635,111,0.29256120593507584,7.814050766544796,18114238
ERR2683639,43,0.23845878177295945,3.0141256834561996,666307
ERR2750365,21,0.33067457149963947,6.551131080927105,2044813
ERR2848508,442,0.35031480399537196,5.376553072465413,16140413
ERR2889251,776,0.23455464034244028,3.334034920593458,17086413
ERR3155587,19,0.22116557130472056,1.774833508451411,242253
ERR3155596,15,0.16386321733333575,1.5735299018863556,127110
ERR3155597,14,0.1632314241444766,1.571821482123932,109908
ERR3273281,17,0.27997049832221604,69.51514505516292,12217169
ERR3890099,63,0.20044295696331388,2.4887447246279377,1224116
ERR4398707,957,0.20393951888007722,7.183250765375626,56063342
ERR575692,2,0.4042444174726174,52.91497298489264,22662595
ERR5866866,177,0.163167197152684,1.77720598683874,3363098
ERR5866883,91,0.21875987978670702,2.222235078852437,2778560
ERR5954451,571,0.344147047104422,7.383694073981136,29503577
ERR738544,752,0.40728097944243247,1.9532150914296076,38335764
ERR738545,748,0.406568311654715,1.9444202700763427,37874540
ERR738546,753,0.4101050904676987,1.9678296569638751,38897079
ERR9456921,8,0.10762349389039427,1.3026013357822286,41829
SRR1023996,62,0.1829602798265903,3.3934003953640777,1957459
SRR1024014,10,0.29123257407497544,2.603329302842393,270115
SRR10527384,308,0.18220043891801474,10.849102542929204,58826903
SRR10810037,94,0.29643666929170476,54.77379066496718,85265497
SRR11267050,263,0.19404822328191662,31.824662835713053,105699769
SRR11267079,126,0.25720395693068626,49.3355862062672,77979703
SRR12456173,149,0.355548388051569,17.010948716179914,52495521
SRR12479795,289,0.3345251626277316,3.4819162726123927,5999570
SRR12480094,744,0.2661065713288067,4.162310916095798,19291977
SRR12908323,3,0.336445228572684,283.6584505704276,29018884
SRR12908327,3,0.3413429864502156,259.09324724940876,26485642
SRR15604576,477,0.3489901606376665,11.205467844154821,66172197
SRR1702229,234,0.23247483489255044,2.144750472370153,5091893
SRR17255031,323,0.2142554014578892,2.878584613664466,10489102
SRR17257160,684,0.28574646184310576,8.621637993951692,80004670
SRR1873849,5,0.37518088917953374,406.66370018073377,37904843
SRR1916815,278,0.298574357760001,6.536013560025295,29814289
SRR19759452,745,0.2846015839246194,4.336040681568195,35337732
SRR2107175,181,0.2879354756316371,5.330196263378727,12212582
SRR2107179,81,0.41727101349530854,8.15282429979142,13933888
SRR2753158,162,0.30792080348893724,10.256033266540834,11362127
SRR3183878,21,0.27308611860083143,13.223636249282915,5306114
SRR3211795,4,0.2361618860363148,26.642508459560982,248006
SRR3719568,1005,0.333634843754712,7.972737876224107,57397486
SRR3961740,70,0.26824785889506275,14.051983326800464,18408233
SRR4069403,14,0.2840710371244686,2.1812865532523085,285545
SRR4305336,96,0.2750350188855956,4.287201980681616,7906529
SRR490744,23,0.33127885971743515,4.463983486161434,1676830
SRR5248299,17,0.3863110324728385,174.53886657495744,38367432
SRR5438753,43,0.20106939884205202,77.25606072024883,62072667
SRR5574507,839,0.24920148937461034,2.6719804351821894,20609434
SRR5808811,77,0.24362738117822755,1.6444715442586348,1121042
SRR5808830,55,0.2343852316651631,1.5347661040767961,616801
SRR5924454,152,0.27204574543952476,21.061498842125445,42181502
SRR6323523,401,0.20083662226329083,7.4462929459349345,22271039
SRR6490004,11,0.323499024386224,85.70737276698092,35542379
SRR6490006,21,0.26028160313760257,23.13584386542824,20145399
SRR6714105,695,0.2503810449661524,5.647441538478913,33130863
SRR6765262,290,0.20987637637404286,1.7869778890965131,1518088
SRR7299214,351,0.2769981349733522,3.0566246966502972,6705137
SRR7610133,13,0.8179843456587038,18.349528129310684,3058996
SRR9109404,90,0.415484931723329,15.212256122734892,25075735
SRR9182859,739,0.3170308316391614,17.60838871110001,104629074
SRR975540,8,0.42139793061695113,10.745013798000041,2349388
